ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600498.SH,20260213,43.01,44.29,41.53,41.64,43.37,-1.73,-3.9889,846154.42,3598833.117
600498.SH,20260212,41.65,44.23,40.88,43.37,41.62,1.75,4.2047,1072631.13,4599723.01
600498.SH,20260211,42.56,45.43,41.47,41.62,43.86,-2.24,-5.1072,1116155.25,4803573.822
600498.SH,20260210,42.83,45.36,42.72,43.86,42.84,1.02,2.381,1231134.66,5429580.213
600498.SH,20260209,42.5,43.33,40.77,42.84,41.25,1.59,3.8545,1339343.06,5665315.024
600498.SH,20260206,38.6,42.98,38.5,41.25,39.07,2.18,5.5797,1772704.05,7414935.978
600498.SH,20260205,39.9,40.73,38.4,39.07,40.83,-1.76,-4.3106,808344.48,3184300.508
600498.SH,20260204,41.51,42.48,39.9,40.83,42.38,-1.55,-3.6574,1104402.85,4506541.124
600498.SH,20260203,40.16,42.38,39.8,42.38,39.38,3.0,7.6181,1265503.8,5214585.725
600498.SH,20260202,40.6,42.28,39.25,39.38,39.6,-0.22,-0.5556,1168701.11,4764374.706
600498.SH,20260130,39.04,40.72,37.59,39.6,39.6,0.0,0.0,1025531.28,4007064.058
600498.SH,20260129,39.67,41.25,39.47,39.6,40.39,-0.79,-1.9559,997499.23,4020929.833
600498.SH,20260128,41.7,42.0,39.01,40.39,39.88,0.51,1.2788,1357951.84,5477757.994
600498.SH,20260127,39.92,41.56,38.9,39.88,40.17,-0.29,-0.7219,973153.35,3870509.034
600498.SH,20260126,42.0,42.86,39.51,40.17,41.82,-1.65,-3.9455,1623199.61,6668851.365
600498.SH,20260123,38.7,41.82,38.7,41.82,38.02,3.8,9.9947,1142897.27,4645898.622
600498.SH,20260122,36.7,38.32,36.16,38.02,36.59,1.43,3.9082,1304108.28,4881779.928
600498.SH,20260121,37.11,37.99,36.38,36.59,37.07,-0.48,-1.2948,957558.4,3542167.621
600498.SH,20260120,40.0,40.6,36.38,37.07,39.31,-2.24,-5.6983,1556526.45,5877577.349
600498.SH,20260119,39.09,40.71,38.28,39.31,39.02,0.29,0.7432,1631263.9,6461162.785
600498.SH,20260116,38.76,41.02,38.76,39.02,43.07,-4.05,-9.4033,2566710.25,10184002.721
600498.SH,20260115,43.07,43.07,43.07,43.07,47.86,-4.79,-10.0084,249840.0,1076060.88
600498.SH,20260114,45.88,48.75,40.42,47.86,44.32,3.54,7.9874,3616828.24,16678136.494
600498.SH,20260113,47.1,47.1,39.62,44.32,42.82,1.5,3.503,3079595.59,13915552.522
600498.SH,20260112,42.3,42.82,42.28,42.82,38.93,3.89,9.9923,482050.65,2059356.228
600498.SH,20260109,38.5,40.45,37.07,38.93,37.5,1.43,3.8133,2175893.59,8414941.772
600498.SH,20260108,35.97,38.34,35.24,37.5,36.7,0.8,2.1798,2077732.48,7691697.898
600498.SH,20260107,34.68,38.36,34.01,36.7,35.28,1.42,4.0249,2403311.82,8754787.185
600498.SH,20260106,35.98,36.87,33.48,35.28,35.29,-0.01,-0.0283,2778518.12,9750382.237
600498.SH,20260105,33.81,35.29,32.58,35.29,32.08,3.21,10.0062,1346360.77,4592856.938
600498.SH,20251231,29.89,32.08,29.89,32.08,29.16,2.92,10.0137,1343974.98,4272374.543
600498.SH,20251230,30.09,31.15,28.89,29.16,30.47,-1.31,-4.2993,1407901.24,4188956.068
600498.SH,20251229,30.5,31.74,30.08,30.47,29.45,1.02,3.4635,1587195.9,4868277.706
600498.SH,20251226,27.7,30.36,27.6,29.45,27.87,1.58,5.6692,1787250.51,5192989.113
600498.SH,20251225,27.5,28.52,27.45,27.87,27.75,0.12,0.4324,920946.3,2582082.116
600498.SH,20251224,27.01,27.81,26.73,27.75,27.4,0.35,1.2774,725127.76,1990593.934
600498.SH,20251223,28.31,28.58,27.02,27.4,28.55,-1.15,-4.028,1040514.64,2880081.433
600498.SH,20251222,27.83,29.33,27.6,28.55,27.58,0.97,3.517,1474533.3,4230730.65
600498.SH,20251219,26.58,28.49,26.1,27.58,26.31,1.27,4.8271,1478197.91,4027003.42
600498.SH,20251218,27.0,27.18,26.21,26.31,26.7,-0.39,-1.4607,1052919.03,2810347.234
600498.SH,20251217,25.6,26.8,25.48,26.7,25.31,1.39,5.4919,1134914.48,2970648.711
600498.SH,20251216,26.2,26.39,25.08,25.31,26.77,-1.46,-5.4539,856070.99,2190079.006
600498.SH,20251215,26.04,27.27,25.67,26.77,26.48,0.29,1.0952,1258442.65,3325253.568
600498.SH,20251212,25.28,26.9,25.01,26.48,25.4,1.08,4.252,1431662.16,3735791.12
600498.SH,20251211,25.08,25.82,24.58,25.4,24.88,0.52,2.09,1202070.14,3038477.04
600498.SH,20251210,24.5,25.08,24.11,24.88,24.63,0.25,1.015,646100.65,1591096.781
600498.SH,20251209,24.8,24.99,24.31,24.63,24.85,-0.22,-0.8853,819760.85,2026821.998
600498.SH,20251208,23.29,25.26,23.27,24.85,22.97,1.88,8.1846,1336010.95,3305505.214
600498.SH,20251205,22.51,23.06,22.35,22.97,22.53,0.44,1.953,418724.83,957556.122
600498.SH,20251204,22.67,22.67,22.2,22.53,22.72,-0.19,-0.8363,305823.82,686495.724
600498.SH,20251203,23.1,23.3,22.7,22.72,22.92,-0.2,-0.8726,314492.84,720980.265
600498.SH,20251202,23.35,23.74,22.86,22.92,23.74,-0.82,-3.4541,533255.65,1227940.668
600498.SH,20251201,22.99,23.85,22.91,23.74,22.86,0.88,3.8495,558075.64,1314345.0
600498.SH,20251128,22.84,22.99,22.67,22.86,22.92,-0.06,-0.2618,202422.44,462534.45
600498.SH,20251127,23.05,23.39,22.9,22.92,23.3,-0.38,-1.6309,420349.92,973590.743
600498.SH,20251126,22.83,24.1,22.64,23.3,22.83,0.47,2.0587,574455.06,1339891.223
600498.SH,20251125,22.2,23.03,22.16,22.83,22.09,0.74,3.3499,373397.39,851077.947
600498.SH,20251124,21.82,22.18,21.67,22.09,21.61,0.48,2.2212,210833.76,462642.539
600498.SH,20251121,21.95,22.19,21.58,21.61,22.58,-0.97,-4.2958,290933.98,635474.65
600498.SH,20251120,22.93,23.05,22.55,22.58,22.78,-0.2,-0.878,168629.78,382792.643
600498.SH,20251119,23.01,23.14,22.52,22.78,23.06,-0.28,-1.2142,220806.3,502557.026
600498.SH,20251118,23.08,23.27,22.88,23.06,23.12,-0.06,-0.2595,168844.6,389698.963
600498.SH,20251117,23.01,23.26,22.88,23.12,23.12,0.0,0.0,192803.04,444628.442
600498.SH,20251114,23.4,23.45,23.12,23.12,23.5,-0.38,-1.617,184438.08,429036.687
600498.SH,20251113,23.32,23.52,23.11,23.5,23.4,0.1,0.4274,188254.4,439370.004
600498.SH,20251112,23.71,23.78,23.28,23.4,23.83,-0.43,-1.8044,205571.4,482440.804
600498.SH,20251111,24.14,24.28,23.73,23.83,24.13,-0.3,-1.2433,215547.27,515943.414
600498.SH,20251110,24.33,24.61,23.91,24.13,24.33,-0.2,-0.822,282090.55,681898.227
600498.SH,20251107,24.1,24.44,23.92,24.33,24.25,0.08,0.3299,288281.23,697637.783
600498.SH,20251106,23.86,24.26,23.79,24.25,23.76,0.49,2.0623,349570.99,843381.47
600498.SH,20251105,23.5,23.93,23.42,23.76,23.81,-0.05,-0.21,203932.04,483298.82
600498.SH,20251104,24.28,24.28,23.6,23.81,24.28,-0.47,-1.9357,253369.29,605255.215
600498.SH,20251103,24.19,24.31,23.85,24.28,24.31,-0.03,-0.1234,282718.07,680602.29
600498.SH,20251031,25.1,25.15,24.26,24.31,25.09,-0.78,-3.1088,483008.35,1186088.112
600498.SH,20251030,26.49,26.49,25.0,25.09,26.25,-1.16,-4.419,538411.44,1371270.453
600498.SH,20251029,26.35,26.46,25.91,26.25,26.24,0.01,0.0381,285554.64,747805.689
600498.SH,20251028,26.13,26.52,26.08,26.24,26.25,-0.01,-0.0381,325996.18,856829.022
600498.SH,20251027,25.71,26.4,25.71,26.25,25.56,0.69,2.6995,413974.03,1083390.116
600498.SH,20251024,25.33,25.66,25.2,25.56,25.1,0.46,1.8327,348506.75,888385.223
600498.SH,20251023,25.6,25.66,24.45,25.1,25.67,-0.57,-2.2205,383304.07,950139.913
600498.SH,20251022,25.96,25.99,25.57,25.67,26.15,-0.48,-1.8356,250679.02,645757.509
600498.SH,20251021,25.66,26.39,25.49,26.15,25.83,0.32,1.2389,381088.32,991382.246
600498.SH,20251020,25.9,26.6,25.57,25.83,25.55,0.28,1.0959,348638.06,906667.548
600498.SH,20251017,27.15,27.29,25.51,25.55,26.62,-1.07,-4.0195,470607.19,1235458.191
600498.SH,20251016,26.38,27.15,26.04,26.62,26.25,0.37,1.4095,579614.36,1546902.631
600498.SH,20251015,25.35,26.88,25.29,26.25,25.24,1.01,4.0016,643847.04,1689127.382
600498.SH,20251014,26.9,27.18,25.09,25.24,26.85,-1.61,-5.9963,591057.75,1534573.171
600498.SH,20251013,26.0,27.19,25.9,26.85,27.25,-0.4,-1.4679,426142.06,1130244.466
600498.SH,20251010,27.51,27.95,26.83,27.25,27.81,-0.56,-2.0137,555186.22,1516254.398
600498.SH,20251009,27.49,28.5,27.49,27.81,27.45,0.36,1.3115,644423.73,1802668.992
600498.SH,20250930,28.59,28.71,27.33,27.45,27.98,-0.53,-1.8942,525761.35,1459273.673
600498.SH,20250929,28.0,28.29,27.49,27.98,28.15,-0.17,-0.6039,492280.39,1371515.901
600498.SH,20250926,29.14,29.68,28.13,28.15,29.14,-0.99,-3.3974,590805.47,1696546.261
600498.SH,20250925,28.4,29.83,28.27,29.14,28.49,0.65,2.2815,941452.5,2739720.53
600498.SH,20250924,28.09,28.8,27.71,28.49,28.06,0.43,1.5324,812970.36,2300787.113
600498.SH,20250923,29.75,30.0,27.2,28.06,29.65,-1.59,-5.3626,1232556.42,3480106.02
